[2025-08-11 16:00:41] [音频] 回退到虚拟线设备: CABLE Output (VB-Audio Virtual  (index=4)
[2025-08-11 16:00:42] [音频] 音频回调流已启动: index=4, channels=2, wasapi_extra_used=False
[2025-08-11 16:01:13] [系统] 音频监测线程已结束: K3-1 (2- HD Audio Driver for Display Audio)
[2025-08-12 16:24:26] [音频] 回退到虚拟线设备: CABLE Output (VB-Audio Virtual  (index=4)
[2025-08-12 16:24:26] [音频] 音频回调流已启动: index=4, channels=2, wasapi_extra_used=False
[2025-08-12 16:24:28] [系统] 音频监测线程已结束: K3-1 (2- HD Audio Driver for Display Audio)
[2025-08-12 19:12:59] [系统] 黑屏恢复，持续 3.2s
[2025-08-12 19:12:59] [系统] 黑屏恢复，持续 3.3s
[2025-08-12 19:12:59] [系统] 黑屏恢复，持续 3.4s
[2025-08-12 19:12:59] [系统] 黑屏恢复，持续 3.4s
[2025-08-12 19:12:59] [系统] 黑屏恢复，持续 3.5s
[2025-08-12 19:12:59] [系统] 黑屏恢复，持续 3.5s
[2025-08-12 19:12:59] [系统] 黑屏恢复，持续 3.6s
[2025-08-12 19:12:59] [系统] 黑屏恢复，持续 3.7s
[2025-08-12 19:12:59] [系统] 黑屏恢复，持续 3.8s
[2025-08-12 19:12:59] [系统] 黑屏恢复，持续 3.8s
[2025-08-12 19:12:59] [系统] 黑屏恢复，持续 3.9s
[2025-08-12 19:13:00] [系统] 黑屏恢复，持续 3.9s
[2025-08-12 19:13:00] [系统] 黑屏恢复，持续 4.0s
[2025-08-12 19:13:00] [系统] 黑屏恢复，持续 4.1s
[2025-08-12 19:13:00] [系统] 黑屏恢复，持续 4.2s
[2025-08-12 19:13:00] [系统] 黑屏恢复，持续 4.2s
[2025-08-12 19:13:00] [系统] 黑屏恢复，持续 4.3s
[2025-08-12 19:13:00] [系统] 黑屏恢复，持续 4.4s
[2025-08-12 19:13:00] [系统] 黑屏恢复，持续 4.4s
[2025-08-12 19:13:00] [系统] 黑屏恢复，持续 4.5s
[2025-08-12 19:13:00] [系统] 黑屏恢复，持续 4.6s
[2025-08-12 19:13:00] [系统] 黑屏恢复，持续 4.6s
[2025-08-12 19:13:00] [系统] 黑屏恢复，持续 4.7s
[2025-08-12 19:13:00] [系统] 黑屏恢复，持续 4.8s
[2025-08-12 19:13:00] [系统] 黑屏恢复，持续 4.8s
[2025-08-12 19:13:00] [系统] 黑屏恢复，持续 4.9s
[2025-08-12 19:13:03] [系统] 用户关闭了摄像头监控窗口，show_camera_feed 退出
[2025-08-12 19:13:03] [系统] 音频已停止
[2025-08-12 19:13:03] [系统] 摄像头检测线程已结束
[2025-08-12 19:13:32] [系统] 音频监测线程已结束: Sculptor (2- HD Audio Driver for Display Audio)
[2025-08-12 19:13:58] [系统] 音频开始播放
[2025-08-12 19:13:58] [系统] 摄像头检测线程已启动，绘制窗口以关闭结束监控
[2025-08-12 19:14:00] [系统] 黑屏恢复，持续 0.9s
[2025-08-12 19:14:00] [系统] 黑屏恢复，持续 1.0s
[2025-08-12 19:14:00] [系统] 黑屏恢复，持续 1.0s
[2025-08-12 19:14:00] [系统] 黑屏恢复，持续 1.1s
[2025-08-12 19:14:00] [系统] 黑屏恢复，持续 1.2s
[2025-08-12 19:14:00] [系统] 黑屏恢复，持续 1.2s
[2025-08-12 19:14:00] [系统] 黑屏恢复，持续 1.3s
[2025-08-12 19:14:00] [系统] 黑屏恢复，持续 1.4s
[2025-08-12 19:14:01] [系统] 黑屏恢复，持续 1.4s
[2025-08-12 19:14:01] [系统] 黑屏恢复，持续 1.6s
[2025-08-12 19:14:01] [系统] 黑屏恢复，持续 1.6s
[2025-08-12 19:14:01] [系统] 黑屏恢复，持续 1.7s
[2025-08-12 19:14:01] [系统] 黑屏恢复，持续 1.8s
[2025-08-12 19:14:01] [音频] 回退到虚拟线设备: CABLE Output (VB-Audio Virtual  (index=4)
[2025-08-12 19:14:01] [音频] 音频回调流已启动: index=4, channels=2, wasapi_extra_used=False
[2025-08-12 19:14:14] [系统] 黑屏恢复，持续 2.2s
[2025-08-12 19:14:14] [系统] 黑屏恢复，持续 2.2s
[2025-08-12 19:14:14] [系统] 黑屏恢复，持续 2.3s
[2025-08-12 19:14:14] [系统] 黑屏恢复，持续 2.3s
[2025-08-12 19:14:14] [系统] 黑屏恢复，持续 2.4s
[2025-08-12 19:14:14] [系统] 黑屏恢复，持续 2.5s
[2025-08-12 19:14:14] [系统] 黑屏恢复，持续 2.5s
[2025-08-12 19:14:14] [系统] 黑屏恢复，持续 2.6s
[2025-08-12 19:14:14] [系统] 黑屏恢复，持续 2.7s
[2025-08-12 19:14:14] [系统] 黑屏恢复，持续 2.7s
[2025-08-12 19:14:14] [系统] 黑屏恢复，持续 2.8s
[2025-08-12 19:14:14] [系统] 黑屏恢复，持续 2.9s
[2025-08-12 19:14:15] [系统] 黑屏恢复，持续 2.9s
[2025-08-12 19:14:15] [系统] 黑屏恢复，持续 3.0s
[2025-08-12 19:14:15] [系统] 黑屏恢复，持续 3.1s
[2025-08-12 19:14:15] [系统] 黑屏恢复，持续 3.1s
[2025-08-12 19:14:15] [系统] 黑屏恢复，持续 3.2s
[2025-08-12 19:14:15] [系统] 黑屏恢复，持续 3.3s
[2025-08-12 19:14:15] [系统] 黑屏恢复，持续 3.3s
[2025-08-12 19:14:15] [系统] 黑屏恢复，持续 3.4s
[2025-08-12 19:14:15] [系统] 黑屏恢复，持续 3.5s
[2025-08-12 19:14:15] [系统] 黑屏恢复，持续 3.5s
[2025-08-12 19:14:15] [系统] 黑屏恢复，持续 3.6s
[2025-08-12 19:14:15] [系统] 黑屏恢复，持续 3.7s
[2025-08-12 19:14:15] [系统] 黑屏恢复，持续 3.7s
[2025-08-12 19:14:15] [系统] 黑屏恢复，持续 3.8s
[2025-08-12 19:14:15] [系统] 黑屏恢复，持续 3.9s
[2025-08-12 19:14:16] [系统] 黑屏恢复，持续 3.9s
[2025-08-12 19:14:16] [系统] 黑屏恢复，持续 4.0s
[2025-08-12 19:14:16] [系统] 黑屏恢复，持续 4.1s
[2025-08-12 19:14:16] [系统] 黑屏恢复，持续 4.1s
[2025-08-12 19:14:16] [系统] 黑屏恢复，持续 4.2s
[2025-08-12 19:14:16] [系统] 黑屏恢复，持续 4.3s
[2025-08-12 19:14:16] [系统] 黑屏恢复，持续 4.3s
[2025-08-12 19:14:16] [系统] 黑屏恢复，持续 4.4s
[2025-08-12 19:14:16] [系统] 黑屏恢复，持续 4.5s
[2025-08-12 19:14:16] [系统] 黑屏恢复，持续 4.5s
[2025-08-12 19:14:16] [系统] 黑屏恢复，持续 4.6s
[2025-08-12 19:14:16] [系统] 黑屏恢复，持续 4.7s
[2025-08-12 19:14:16] [系统] 黑屏恢复，持续 4.7s
[2025-08-12 19:14:16] [系统] 黑屏恢复，持续 4.8s
[2025-08-12 19:14:18] [系统] 用户关闭了摄像头监控窗口，show_camera_feed 退出
[2025-08-12 19:14:18] [系统] 音频已停止
[2025-08-12 19:14:18] [系统] 摄像头检测线程已结束
[2025-08-12 19:16:43] [系统] 音频监测线程已结束: Sculptor (2- HD Audio Driver for Display Audio)
[2025-08-12 19:17:29] [音频] 回退到虚拟线设备: CABLE Output (VB-Audio Virtual  (index=4)
[2025-08-12 19:17:29] [音频] 音频回调流已启动: index=4, channels=2, wasapi_extra_used=False
[2025-08-12 19:18:00] [系统] 音频监测线程已结束: Sculptor (2- HD Audio Driver for Display Audio)
[2025-08-12 19:29:53] [音频] 回退到虚拟线设备: CABLE Output (VB-Audio Virtual  (index=4)
[2025-08-12 19:29:53] [音频] 音频回调流已启动: index=4, channels=2, wasapi_extra_used=False
[2025-08-12 19:30:34] [系统] 音频监测线程已结束: Sculptor (2- HD Audio Driver for Display Audio)
[2025-08-12 19:30:36] [音频] 回退到虚拟线设备: CABLE Output (VB-Audio Virtual  (index=4)
[2025-08-12 19:30:36] [音频] 音频回调流已启动: index=4, channels=2, wasapi_extra_used=False
[2025-08-12 19:34:20] [系统] 音频开始播放
[2025-08-12 19:34:20] [系统] 摄像头检测线程已启动，绘制窗口以关闭结束监控
[2025-08-12 19:34:22] [系统] 黑屏恢复，持续 0.4s
[2025-08-12 19:34:22] [系统] 黑屏恢复，持续 0.4s
[2025-08-12 19:34:22] [系统] 黑屏恢复，持续 0.5s
[2025-08-12 19:34:22] [系统] 黑屏恢复，持续 0.6s
[2025-08-12 19:34:22] [系统] 黑屏恢复，持续 0.6s
[2025-08-12 19:34:22] [系统] 黑屏恢复，持续 0.7s
[2025-08-12 19:34:22] [系统] 黑屏恢复，持续 0.8s
[2025-08-12 19:34:22] [系统] 黑屏恢复，持续 0.8s
[2025-08-12 19:34:22] [系统] 黑屏恢复，持续 0.9s
[2025-08-12 19:34:22] [系统] 黑屏恢复，持续 1.0s
[2025-08-12 19:34:22] [系统] 黑屏恢复，持续 1.0s
[2025-08-12 19:34:22] [系统] 黑屏恢复，持续 1.1s
[2025-08-12 19:34:22] [系统] 黑屏恢复，持续 1.2s
[2025-08-12 19:34:23] [系统] 黑屏恢复，持续 1.2s
[2025-08-12 19:34:23] [系统] 黑屏恢复，持续 1.3s
[2025-08-12 19:34:23] [系统] 黑屏恢复，持续 1.4s
[2025-08-12 19:34:25] [闪屏] 检测到闪屏 brightness_diff=27.0 diff_prop=0.3647
[2025-08-12 19:34:25] [flicker] 视频已保存: shiping/flicker_20250812_193425.avi
[2025-08-12 19:34:28] [闪屏] 检测到闪屏 brightness_diff=1.8 diff_prop=0.1064
[2025-08-12 19:34:28] [flicker] 视频已保存: shiping/flicker_20250812_193428.avi
[2025-08-12 19:34:30] [闪屏] 检测到闪屏 brightness_diff=2.5 diff_prop=0.2125
[2025-08-12 19:34:31] [flicker] 视频已保存: shiping/flicker_20250812_193430.avi
[2025-08-12 19:34:34] [抖动] 检测到持续抖屏，持续 5.0s (阈值 5.0s)
[2025-08-12 19:34:34] [jitter] 视频已保存: shiping/jitter_20250812_193434.avi
[2025-08-12 19:34:36] [系统] 黑屏恢复，持续 2.2s
[2025-08-12 19:34:36] [系统] 黑屏恢复，持续 2.3s
[2025-08-12 19:34:36] [系统] 黑屏恢复，持续 2.4s
[2025-08-12 19:34:36] [系统] 黑屏恢复，持续 2.4s
[2025-08-12 19:34:36] [系统] 黑屏恢复，持续 2.5s
[2025-08-12 19:34:36] [系统] 黑屏恢复，持续 2.6s
[2025-08-12 19:34:36] [系统] 黑屏恢复，持续 2.6s
[2025-08-12 19:34:36] [系统] 黑屏恢复，持续 2.7s
[2025-08-12 19:34:36] [系统] 黑屏恢复，持续 2.8s
[2025-08-12 19:34:36] [系统] 黑屏恢复，持续 2.8s
[2025-08-12 19:34:36] [系统] 黑屏恢复，持续 2.9s
[2025-08-12 19:34:36] [系统] 黑屏恢复，持续 3.0s
